path,create_time,contributors,pull_request,star
https://github.com/JetBrains/kotlin,2012/2/13 0:00,498,4446,37962
https://github.com/ytdl-org/youtube-dl,2010/10/31 0:00,768,4410,97100
https://github.com/strapi/strapi,2015/9/30 0:00,666,4404,37461
https://github.com/osquery/osquery,2014/7/29 0:00,345,4383,18054
https://github.com/apollographql/apollo-client,2016/2/26 0:00,603,4379,16338
https://github.com/pypa/pip,2011/3/6 0:00,539,4373,7257
https://github.com/yuzu-emu/yuzu,2018/1/3 0:00,175,4362,14995
https://github.com/ionic-team/ionic-framework,2013/8/20 0:00,411,4350,44831
https://github.com/curl/curl,2010/3/18 0:00,722,4313,21177
https://github.com/ipfs/go-ipfs,2014/6/26 0:00,285,4306,11618
https://github.com/GoogleChrome/lighthouse,2016/3/8 0:00,282,4295,23036
https://github.com/opencart/opencart,2011/8/2 0:00,321,4291,6106
https://github.com/mirumee/saleor,2013/2/12 0:00,173,4287,12352
https://github.com/codecombat/codecombat,2013/12/14 0:00,680,4282,7404
https://github.com/serverless/serverless,2015/4/21 0:00,895,4279,40108
https://github.com/python/mypy,2012/12/7 0:00,458,4279,10970
https://github.com/mapbox/mapbox-gl-js,2013/3/7 0:00,305,4268,7652
https://github.com/pouchdb/pouchdb,2010/6/10 0:00,339,4265,14202
https://github.com/OrchardCMS/OrchardCore,2014/11/19 0:00,198,4249,5153
https://github.com/bazelbuild/bazel,2014/6/12 0:00,704,4243,16936
https://github.com/desktop/desktop,2016/5/11 0:00,234,4243,12266
https://github.com/influxdata/telegraf,2015/4/1 0:00,880,4241,10293
https://github.com/material-components/material-components-web,2016/12/5 0:00,379,4229,15615
https://github.com/dotansimha/graphql-code-generator,2016/12/5 0:00,336,4215,7151
https://github.com/protocolbuffers/protobuf,2014/8/26 0:00,756,4207,48860
https://github.com/keras-team/keras,2015/3/28 0:00,888,4201,51853
https://github.com/MonoGame/MonoGame,2011/4/7 0:00,319,4196,7581
https://github.com/encode/django-rest-framework,2011/3/2 0:00,1076,4190,21311
https://github.com/redis/redis,2009/3/21 0:00,503,4189,49805
https://github.com/containerd/containerd,2015/11/13 0:00,366,4157,8727
https://github.com/gravitational/teleport,2015/3/2 0:00,143,4149,9641
https://github.com/dotnet/orleans,2014/12/19 0:00,236,4142,7649
https://github.com/phalcon/cphalcon,2011/11/26 0:00,254,4132,10440
https://github.com/helm/helm,2015/10/6 0:00,507,4130,19814
https://github.com/Theano/Theano,2011/8/10 0:00,352,4112,9428
https://github.com/jekyll/jekyll,2008/10/20 0:00,964,4105,42968
https://github.com/eclipse-theia/theia,2017/2/24 0:00,200,4103,15046
https://github.com/libgit2/libgit2,2010/9/10 0:00,418,4077,7945
https://github.com/certbot/certbot,2014/11/12 0:00,434,4062,28084
https://github.com/MinecraftForge/MinecraftForge,2012/1/30 0:00,394,4059,4769
https://github.com/pytest-dev/pytest,2015/6/15 0:00,621,4057,7485
https://github.com/foundation/foundation-sites,2011/10/13 0:00,1028,4052,29063
https://github.com/cupy/cupy,2016/11/1 0:00,217,4031,5193
https://github.com/koreader/koreader,2013/3/24 0:00,165,4018,8735
https://github.com/hibernate/hibernate-orm,2010/10/4 0:00,420,4007,4659
